iter	Passed	Remaining
357	5173	2052
358	5190	2038
359	5203	2023
360	5218	2009
361	5232	1994
362	5245	1979
363	5259	1965
364	5277	1951
365	5290	1936
366	5303	1921
367	5317	1907
368	5330	1892
369	5344	1877
370	5358	1863
371	5373	1848
372	5386	1834
373	5401	1819
374	5416	1805
375	5431	1791
376	5447	1777
377	5462	1763
378	5478	1748
379	5492	1734
380	5505	1719
381	5518	1704
382	5531	1689
383	5545	1675
384	5559	1660
385	5573	1645
386	5587	1631
387	5599	1616
388	5614	1601
389	5627	1587
390	5641	1572
391	5654	1557
392	5668	1543
393	5681	1528
394	5695	1513
395	5707	1499
396	5720	1484
397	5734	1469
398	5747	1454
399	5760	1440
400	5773	1425
401	5787	1410
402	5800	1396
403	5813	1381
404	5826	1366
405	5840	1352
406	5854	1337
407	5868	1323
408	5881	1308
409	5894	1293
410	5906	1279
411	5918	1264
412	5932	1249
413	5944	1234
414	5957	1220
415	5970	1205
416	5983	1190
417	5995	1176
418	6007	1161
419	6021	1146
420	6034	1132
421	6047	1117
422	6059	1103
423	6072	1088
424	6085	1073
425	6097	1059
426	6110	1044
427	6123	1030
428	6136	1015
429	6149	1001
430	6162	986
431	6175	972
432	6188	957
433	6203	943
434	6220	929
435	6234	915
436	6249	900
437	6263	886
438	6277	872
439	6291	857
440	6304	843
441	6318	829
442	6333	814
443	6346	800
444	6359	786
445	6373	771
446	6387	757
447	6400	742
448	6412	728
449	6428	714
450	6441	699
451	6455	685
452	6468	671
453	6481	656
454	6495	642
455	6509	628
456	6523	613
457	6538	599
458	6553	585
459	6568	571
460	6581	556
461	6596	542
462	6612	528
463	6627	514
464	6641	499
465	6654	485
466	6668	471
467	6681	456
468	6694	442
469	6709	428
470	6728	414
471	6744	400
472	6760	385
473	6775	371
474	6790	357
475	6805	343
476	6821	328
477	6837	314
478	6853	300
479	6870	286
480	6886	272
481	6903	257
482	6925	243
483	6944	229
484	6961	215
485	6977	200
486	6991	186
487	7006	172
488	7022	157
489	7041	143
490	7059	129
491	7073	115
492	7086	100
493	7099	86
494	7112	71
495	7125	57
496	7138	43
497	7152	28
498	7164	14
499	7178	0
