iter	Logloss
184	0.4922517914
185	0.4921675259
186	0.4920999609
187	0.4919949263
188	0.4918972192
189	0.4918385939
190	0.4917858201
191	0.4917144735
192	0.4916485645
193	0.4915728861
194	0.4914719006
195	0.4914114722
196	0.4913539128
197	0.4912747263
198	0.4911902106
199	0.4911066655
200	0.4910363944
201	0.4909086449
202	0.4908003986
203	0.4907278488
204	0.4906592567
205	0.4905916602
206	0.4905353428
207	0.4904653175
208	0.4904132388
209	0.4903413077
210	0.4902483006
211	0.4901663885
212	0.4901001237
213	0.4900229269
214	0.4899814304
215	0.489904414
216	0.489849364
217	0.4897902457
218	0.4897198301
219	0.4895869261
220	0.4895327168
221	0.4894551564
222	0.4893747825
223	0.4893285275
224	0.4892781789
225	0.4892267812
226	0.4891633646
227	0.4890890655
228	0.4890098822
229	0.4888989602
230	0.4888492972
231	0.4888186793
232	0.4887240373
233	0.4886572576
234	0.4885788502
235	0.4885198853
236	0.4884502122
237	0.4883898333
238	0.4883332607
239	0.4882500817
240	0.4881755099
241	0.48808347
242	0.4880113027
243	0.4879321742
244	0.4878693905
245	0.4877976632
246	0.4877214331
247	0.4876459045
248	0.4875705066
249	0.4874818795
250	0.4873886554
251	0.4873415703
252	0.4872499773
253	0.4871667626
254	0.4871177354
255	0.4870747924
256	0.4870247393
257	0.4869743701
258	0.4868794521
259	0.4868421512
260	0.486805597
261	0.4867329166
262	0.4866481905
263	0.4865734929
264	0.4865121619
265	0.4864281067
266	0.4863708409
267	0.4863171533
268	0.4862345538
269	0.4861717907
270	0.4861119326
271	0.4860388644
272	0.4859227495
273	0.4858642334
274	0.4857876839
275	0.4856583564
276	0.4855910696
277	0.4854891021
278	0.4854307324
279	0.4853618054
280	0.4853193223
281	0.4852544135
282	0.4851896833
283	0.4851176443
284	0.4849822889
285	0.4849180305
286	0.4848273319
287	0.4847604335
288	0.4846524808
289	0.4846049568
290	0.4845379924
291	0.4844647821
292	0.4843957083
293	0.4843203274
294	0.4842796163
295	0.484192978
296	0.4840760386
297	0.4840104038
298	0.4839549765
299	0.4839014413
300	0.4838187645
301	0.4837570766
302	0.483673553
303	0.483602108
304	0.4835411723
305	0.4834959674
306	0.4834211716
307	0.4833645592
308	0.483315469
309	0.4832573599
310	0.4831887511
311	0.4831043917
312	0.4830306847
313	0.4829780386
314	0.4829154853
315	0.4828459569
316	0.4828096653
317	0.4827433747
318	0.4826895575
319	0.4826544823
320	0.4825693234
321	0.4824996054
322	0.4824329829
323	0.482370731
324	0.482309228
325	0.4822759945
326	0.4822207766
327	0.4821730966
328	0.4820833489
329	0.4820364583
330	0.481980714
331	0.4819221362
332	0.4818793271
333	0.48182853
334	0.4817687256
335	0.4817387114
336	0.4816601329
337	0.4816156576
338	0.4815697278
339	0.4815063809
340	0.4814489098
341	0.4813671825
342	0.4812916804
343	0.4812250664
344	0.4811714274
345	0.4810958771
346	0.4810367768
347	0.4809647959
348	0.4809215153
349	0.4808638845
350	0.4808011124
351	0.4807612071
352	0.4807188456
353	0.480654528
354	0.4805870997
355	0.480561749
356	0.4804888058
357	0.4804204719
358	0.4803672447
359	0.480321732
360	0.4802539928
361	0.4802005411
362	0.4801506091
363	0.4801070964
364	0.4800404418
365	0.4799798896
366	0.4799245954
367	0.4798332505
368	0.4797621997
369	0.4796680168
370	0.4796350851
371	0.4795961475
372	0.4795449762
373	0.4794949277
374	0.4794400271
375	0.4794008276
376	0.4793470041
377	0.4793019828
378	0.4792255667
379	0.4791989879
380	0.4791414517
381	0.4790681763
382	0.4790173592
383	0.4789612833
384	0.4788913854
385	0.4788484519
386	0.4787821072
387	0.4787276443
388	0.4786743985
389	0.4786281476
390	0.4785538682
391	0.4785113488
392	0.4784688529
393	0.4783975382
394	0.478343062
395	0.4782928348
396	0.4782014378
397	0.4781647457
398	0.4781135961
399	0.4780715666
400	0.4780154875
401	0.4779677037
402	0.4779212471
403	0.4778684382
404	0.4778110154
405	0.4777554582
406	0.477704261
407	0.4776443158
408	0.4775780285
409	0.4775345081
410	0.4774846071
411	0.4774434057
412	0.4773802325
413	0.4773216684
414	0.4772563141
415	0.4772012633
416	0.4771315142
417	0.4770857249
418	0.4770286807
419	0.4769685098
420	0.4769076615
421	0.4768914604
422	0.4768408503
423	0.4767865809
424	0.4767003632
425	0.4766414137
426	0.4765815512
427	0.4765406325
428	0.4764601047
429	0.4764112096
430	0.4763442797
431	0.4763012677
432	0.4762241237
433	0.4761530949
434	0.4760975496
435	0.4760543666
436	0.4760125357
437	0.4759627559
438	0.4759182208
439	0.4758575952
440	0.4758185281
441	0.4757057928
442	0.4756220598
443	0.4755869664
444	0.4755481933
445	0.475459021
446	0.4754234075
447	0.4753730335
448	0.4753299887
449	0.4752844562
450	0.4752481472
451	0.475220611
452	0.4751800614
453	0.4751325486
454	0.4750926787
455	0.4750559049
456	0.4749992741
457	0.4749287067
458	0.4748430232
459	0.4747891157
460	0.4747662948
461	0.4747234781
462	0.4746582915
463	0.4745919029
464	0.4745565966
465	0.4744819447
466	0.4744314531
467	0.4744037979
468	0.4742933951
469	0.4742424915
470	0.4741944351
471	0.4741245046
472	0.4740787438
473	0.473996536
474	0.4739279429
475	0.4738212406
476	0.4737808491
477	0.4737092662
478	0.4736829036
479	0.4736067438
480	0.47356047
481	0.4735078472
482	0.4734528139
483	0.4733737542
484	0.4733380792
485	0.4732760247
486	0.4732428066
487	0.4731905197
488	0.4731248015
489	0.4730555179
490	0.473011283
491	0.4729571519
492	0.4729133702
493	0.4728757943
494	0.4728155041
495	0.4727756483
496	0.4727209698
497	0.4726423154
498	0.4725929245
499	0.472535866
